iso,name,year,reforestation__rate,fao_treecover_reforest__ha
MNG,Mongolia,2010,9167000,13039200
SDN,Sudan,2010,5940000,20082012
CRI,Costa Rica,2010,4130960,2605000
USA,United States of America,2010,2900000,308720000
RUS,Russian Federation,2010,1018700,815135600
IDN,Indonesia,2010,866740,94432000
BRA,Brazil,2010,519000,498458000
CAN,Canada,2010,401000,347302000
CHN,China,2010,290100,200610300
NGA,Nigeria,2010,214000,9041000
SWE,Sweden,2010,172400,28073000
FIN,Finland,2010,140000,22218000
MYS,Malaysia,2010,134242,22124000
ARG,Argentina,2010,114000,28596000
PHL,Philippines,2010,97120,6840000
AUT,Austria,2010,75700,3860000
CHL,Chile,2010,75100,16231000
MLI,Mali,2010,67000,5110000
ZAF,South Africa,2010,50591,9241000
POL,Poland,2010,48431,9329000
DEU,Germany,2010,48000,11409000
DZA,Algeria,2010,46000,1918000
TUR,Turkey,2010,45240,11203000
UKR,Ukraine,2010,39200,9548000
NZL,New Zealand,2010,39000,10151000
IRN,Iran  (Islamic Republic of),2010,37777,10691980
VNM,Viet Nam,2010,37000,14128000
MAR,Morocco,2010,36500,5672000
LVA,Latvia,2010,35546,3354000
LBR,Liberia,2010,30000,4329000
MDG,Madagascar,2010,28000,12553000
MMR,Myanmar,2010,27362,31773000
TZA,United Republic of Tanzania,2010,27000,47920000
CZE,Czech Republic,2010,25624,2657000
JPN,Japan,2010,24000,24966000
EST,Estonia,2010,23770,2234000
ROU,Romania,2010,23040,6515000
BGR,Bulgaria,2010,22400,3737000
KOR,Republic of Korea,2010,21000,6222000
GHA,Ghana,2010,20000,9195000
SEN,Senegal,2010,19061,8473000
SVK,Slovakia,2010,16430,1939000
LTU,Lithuania,2010,15800,2170000
BEN,Benin,2010,14600,4561000
HUN,Hungary,2010,14200,2046000
BFA,Burkina Faso,2010,14013,5649000
GBR,U.K. of Great Britain and Northern Ireland,2010,14000,3059000
NOR,Norway,2010,13234,12102000
UZB,Uzbekistan,2010,12000,3275500
AZE,Azerbaijan,2010,10700,1008300
GTM,Guatemala,2010,10000,3722000
DOM,Dominican Republic,2010,9000,1817000
PRY,Paraguay,2010,8940,16950000
ESP,Spain,2010,8860,18247200
BGD,Bangladesh,2010,8140.000000000001,1442000
HRV,Croatia,2010,7510,1920000
ARM,Armenia,2010,6800,331000
IRL,Ireland,2010,6600,725635
ZWE,Zimbabwe,2010,6000,15624000
KHM,Cambodia,2010,5855,10094000
ITA,Italy,2010,5700,9028000
KEN,Kenya,2010,5400,4230000
BDI,Burundi,2010,5400,253000
VEN,Venezuela,2010,4215,47505000
FJI,Fiji,2010,3956,992896
MWI,Malawi,2010,3000,3237000
BOL,Bolivia,2010,3000,56209000
DNK,Denmark,2010,3000,587100
BLR,Belarus,2010,2490,8534000
BEL,Belgium,2010,2227,681200
KGZ,Kyrgyzstan,2010,2020,677000
ZMB,Zambia,2010,1500,49468000
TUN,Tunisia,2010,1400,990000
TGO,Togo,2010,1000,287000
HTI,Haiti,2010,800,101000
TJK,Tajikistan,2010,500,410000
ISR,Israel,2010,428.4,154000
BRN,Brunei Darussalam,2010,400,380000
CAF,Central African Republic,2010,350,22248000
SLE,Sierra Leone,2010,343,2726000
MNE,Montenegro,2010,320,827000
TCD,Chad,2010,300,5508000
SVN,Slovenia,2010,278,1247000
BTN,Bhutan,2010,264,2705291
MRT,Mauritania,2010,250,242000
CYP,Cyprus,2010,229,172841
SRB,Serbia,2010,200,2713000
ISL,Iceland,2010,120,42700
COM,Comoros,2010,110,39000
TLS,Timor-Leste,2010,104,742000
MUS,Mauritius,2010,61,38400
JAM,Jamaica,2010,60,337100
GUY,Guyana,2010,27,16576000
WLF,Wallis and Futuna,2010,6,5820
CUB,Cuba,2010,4,2932000
